strategy,type,annualized_return,volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,var_5pct,total_signals,buy_signals,sell_signals,hit_rate,information_coefficient,r2_score
ML - Linear,Machine Learning,0.006299326089079571,0.009507519938012176,-1.4384005516689469,-0.007423113162752235,0.8486097343481691,0.019517205957883924,0.0,72,44,28,52.20458553791887,-0.053006364677191276,-0.3318624026790191
ML - Ridge,Machine Learning,0.0017943537520288544,0.006952487770607504,-2.6153666832354365,-0.012638945888703379,0.14197020604642654,0.01335387776065742,0.0,53,48,5,52.733686067019406,0.007401141829996205,-0.13112877238934884
ML - Random_Forest,Machine Learning,0.008624583588125567,0.009429392889807346,-1.2056198292869935,-0.0036622362082130433,2.355004728745735,0.011813045711350795,0.0,30,20,10,52.02821869488537,0.12953751638402772,-0.22955583015712833
Traditional - Momentum,Rule-based,0.0021937208693632027,0.0089910928244905,-1.9762324692416438,-0.018627041113820457,0.11777076433978324,0.21571648690292758,-0.0005861845500077844,856,537,319,0.0,0.0,0.0
Traditional - Mean Reversion,Rule-based,-0.00045952261942427963,0.007959066412523372,-2.566628252863526,-0.021878638366674655,-0.021003254943151323,0.3995891114535182,-0.0007709821050991826,1544,599,945,0.0,0.0,0.0
Traditional - Pairs Trading,Rule-based,0.0015258712153165543,0.007047293234259198,-2.6180925802504937,-0.022823491983705185,0.0668552917496564,0.22136620441705188,-0.0006839942411978381,847,475,372,0.0,0.0,0.0
LLM - LSTM,Deep Learning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.8885464817668207,0.0,0.9507771730422974
LLM - GRU,Deep Learning,0.00034002484837958313,0.0007087579177769016,-27.738359565912496,0.0,0.0,0.0015408320493066256,0.0,3,0,3,0.9167950693374423,0.0,0.9965517520904541
DeepLOB + Transformer,Deep Learning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
